year,fastball_pct,breaking_pct,offspeed_pct
2015.0,62.55649192117426,21.87589521256355,12.148096840443014
2016.0,61.55945702572249,23.388779202765207,11.577214991638375
2017.0,61.192911499593315,23.445421220933472,11.565052199975488
2018.0,60.65612806737574,24.2716418658668,11.843809269177104
2019.0,58.920523249422885,25.837226558206,12.404913707815764
2020.0,57.32432842616482,26.07262103505843,13.506222492032174
2021.0,57.81227536554633,26.444073596942015,12.884398000806218
2022.0,55.996277656335614,28.196753257756768,12.794214834019623
2023.0,55.49296127902262,28.551861363044175,13.08701873973244
2024.0,55.804470007613396,28.279867733200746,13.315950127337164
2025.0,54.96663532045743,28.81388669966713,13.61360698057052
