year,pitch_type,count,pfx_x_mean,pfx_x_std,pfx_x_median,pfx_z_mean,pfx_z_std,pfx_z_median,pfx_x_se,pfx_z_se
2015,ALL,701646,-0.09146850406045214,0.888699858109173,-0.23,0.7133657285867805,0.7521848146577695,0.86,,
2015,FF,249545,-0.23043042337053438,0.6715043467207071,-0.4,1.3280375884109075,0.31013868707920006,1.34,0.0013442325021048613,0.0006208425982168461
2015,SL,100086,0.28373129108966294,0.5448789511283679,0.34,0.16038396978598407,0.43731520844535504,0.18,0.001722318097027371,0.001382317845185557
2015,CU,52842,0.483567616668559,0.8130058112805445,0.67,-0.7544260247530372,0.5218200283968819,-0.79,0.003536747266429826,0.002270027511973297
2015,CH,74156,-0.22561599870543178,1.1004946936321025,-0.74,0.6397903069205458,0.44849961424184914,0.65,0.004041241507087843,0.0016469822775837639
2015,SI,149317,-0.371813189389018,1.1551025774964734,-0.97,0.7965983109759772,0.41011723890004786,0.82,0.0029892753788596936,0.001061337225432323
2016,ALL,715170,-0.06426516772235974,0.8898008595251234,-0.19,0.6971017660136751,0.7658449367622419,0.86,,
2016,FF,258392,-0.200257128703675,0.6967631188242713,-0.38,1.3151038731849285,0.3041013833542937,1.33,0.0013707101311499568,0.000598244705838938
2016,SL,104466,0.31007504834108707,0.5354975822276739,0.36,0.18644515919055005,0.43367774674077897,0.2,0.0016567997920716887,0.0013417748734498563
2016,CU,61140,0.547643277723258,0.8032145291723253,0.74,-0.7546599607458292,0.5226238557264626,-0.81,0.003248395038833882,0.0021136180664802764
2016,CH,72507,-0.25943784738025294,1.0763793763403653,-0.76,0.6301561228571034,0.455008811352026,0.64,0.003997379673634643,0.0016897787283952073
2016,SI,144393,-0.38930439841266545,1.1368818869050024,-0.96,0.8241416135131205,0.4010512516306067,0.85,0.0029918669576534727,0.0010554236125141496
2017,ALL,717962,-0.22614685735456755,0.9023928499336932,-0.33,0.7870767255091498,0.7617939859474934,0.94,,
2017,FF,248927,-0.3313680315915912,0.7030341612832649,-0.51,1.4251387354525629,0.30948706670436654,1.43,0.0014090954931416076,0.0006203067431072213
2017,SL,109906,0.16196840936800538,0.5638791014862313,0.21,0.2916219314687096,0.4546646063098533,0.29,0.0017008863583622335,0.001371451476857842
2017,CU,54860,0.33864199781261395,0.8063274763644654,0.53,-0.6074338315712723,0.512741817415596,-0.65,0.003442576163890995,0.0021891263917034358
2017,CH,70639,-0.39008154135817324,1.1203214757822018,-0.9,0.7435103837823299,0.4785319337947433,0.75,0.004215221395114091,0.0018004814592780896
2017,SI,150395,-0.6374892782339839,1.1180386024544036,-1.14,0.9043807972339506,0.42241828993187025,0.94,0.002882969843876875,0.0010892461035801188
2018,ALL,718116,-0.1473503305872588,0.8727463085339663,-0.24,0.6591908967353464,0.7370756044712291,0.81,,
2018,FF,252975,-0.2662249234114043,0.6521147641339191,-0.44,1.3063385314754417,0.23438604254169884,1.32,0.001296537942306071,0.00046600754041488027
2018,SL,113800,0.21080878734622144,0.5348129461617864,0.27,0.14787407732864677,0.37986788327603077,0.15,0.0015853705287334368,0.0011260597771243764
2018,CU,55449,0.27897130696676226,0.8406840984238731,0.51,-0.7714889357788238,0.48106367563734437,-0.83,0.003570145974250612,0.0020429404435682802
2018,CH,74404,-0.3065308316757163,1.1309531543232283,-0.9,0.5831699908607065,0.4084106377594251,0.59,0.004146163978122127,0.0014972657957467036
2018,SI,140146,-0.47681203887374596,1.1459745886855763,-1.1,0.7821824383143292,0.3883664446627041,0.82,0.0030611501624934856,0.001037412187777962
2019,ALL,727756,-0.1463515381528974,0.8594149532856585,-0.24,0.650266861420586,0.7390803856968664,0.79,,
2019,FF,263385,-0.2861261651195019,0.6472104304352732,-0.47,1.3024199176111018,0.23987854260713629,1.32,0.0012611013447763242,0.00046740772156807534
2019,SL,120552,0.21002148450461208,0.5212347268462318,0.27,0.1508476010352379,0.3715962329395276,0.16,0.0015012261906764465,0.001070247181381862
2019,CU,61135,0.3217078596548622,0.826684207097067,0.54,-0.7590730350862844,0.47557428731265705,-0.8,0.003343448843929759,0.0019234168107574866
2019,CH,78854,-0.32832881020620386,1.140753042665786,-0.94,0.6069916554645295,0.38488549796489646,0.62,0.004062372761363654,0.0013706282645739695
2019,SI,117352,-0.5303675267571067,1.13074018567138,-1.12,0.7704228304587907,0.3807798092197277,0.8,0.0033007876002901304,0.0011115491327188013
2020,ALL,263560,-0.14379439216876608,0.8527097799705897,-0.23,0.6351268781302171,0.7587720680100941,0.75,,
2020,FF,91684,-0.27114043889882644,0.6390296578146687,-0.47,1.3312972819685003,0.2533615217458221,1.36,0.002110445970643135,0.0008367464579234892
2020,SL,44089,0.23543423529678603,0.5063055743260774,0.28,0.11314182675950916,0.3733626564722127,0.11,0.0024112796706069295,0.0017781391889938668
2020,CU,21368,0.3569459004118307,0.8114779660724689,0.56,-0.7740935043055036,0.49393583986073347,-0.84,0.005551301235325904,0.003379003192485642
2020,CH,30692,-0.36097777922585694,1.100600064953793,-0.945,0.5757425387723185,0.4098937851526341,0.59,0.00628227494325669,0.0023396922623016053
2020,SI,40835,-0.5650777519284926,1.1191841428546598,-1.14,0.751048120484878,0.41326198885420085,0.79,0.005538412110762446,0.0020450747257282327
2021,ALL,709484,-0.10693783087426918,0.8669950930444819,-0.18,0.6562631574496394,0.7485835841799994,0.76,,
2021,FF,251958,-0.23915577199374505,0.657251037475227,-0.42,1.3448848617626747,0.24999216925419487,1.37,0.0013093845257658384,0.0004980378262185932
2021,SL,121610,0.23292525285749524,0.5365456999634813,0.27,0.1453579475372091,0.3642288932985875,0.15,0.0015385870559329218,0.0010444550402027677
2021,CU,52077,0.37384027497743716,0.799101251284867,0.58,-0.802658947327995,0.4426539776044022,-0.86,0.0035016991582560823,0.001939730488825723
2021,CH,80027,-0.29616292001449507,1.1543814227739486,-0.93,0.5679618128881503,0.409574192375518,0.58,0.0040806661062826035,0.0014478191452688759
2021,SI,108186,-0.46593635035956593,1.1676444814051672,-1.11,0.7511314772706266,0.42031040273009257,0.79,0.0035499734024571246,0.0012778639168253153
2022,ALL,708106,-0.11239101208011232,0.8873451140883114,-0.17,0.6234048715870223,0.7429247714127185,0.7,,
2022,FF,235409,-0.2706120411708983,0.6557184690358829,-0.45,1.346189780339749,0.25269169276315206,1.37,0.0013514683672983699,0.0005208101427287848
2022,SL,118775,0.23459019153862345,0.5278481524828159,0.29,0.15441658598189853,0.3564601404201227,0.15,0.001531603980175774,0.0010343045955043836
2022,CU,52523,0.33758886583020775,0.8222993543305124,0.56,-0.7991556080193438,0.469645535611193,-0.85,0.003588022743110647,0.002049252324106822
2022,CH,79314,-0.3466543107143758,1.1663201843433397,-0.99,0.5164406031722016,0.39273686915233974,0.53,0.004141358861709224,0.0013945264218330478
2022,SI,108885,-0.5155806584929054,1.155866519517153,-1.13,0.7057136428341829,0.4192334403241005,0.75,0.003502867069315048,0.001270491867071641
2023,ALL,717672,-0.12493318674826386,0.8936839549659431,-0.19,0.5903562212264098,0.7112073796535312,0.64,,
2023,FF,230247,-0.28191976442689803,0.6508980212656789,-0.48,1.308847237966184,0.24022479940360802,1.33,0.0013564880155125772,0.000500634586023575
2023,SL,115424,0.21306929234821181,0.523308607831479,0.26,0.13595794635431105,0.34096269054518297,0.14,0.001540315969722671,0.0010035957166893794
2023,CU,47485,0.33728377382331265,0.804739928735321,0.57,-0.8133810677055913,0.45987556298850674,-0.87,0.0036929831751634358,0.0021103870407602745
2023,CH,77867,-0.3948921879615242,1.1581569424192055,-1.05,0.4740732274262524,0.3827253641578763,0.48,0.004150407062445918,0.0013715464598951356
2023,SI,111206,-0.5443956261352804,1.153624711741631,-1.15,0.6580225887092425,0.3995900777931501,0.69,0.0034593972878226233,0.001198258686112514
2024,ALL,707963,-0.10080528219695098,0.8977151649581298,-0.16,0.5875872750412099,0.705050615683446,0.63,,
2024,FF,225470,-0.2665572359959196,0.6731361471435171,-0.48,1.3109438062713443,0.24609379879328888,1.34,0.0014176157517528402,0.0005182702593799049
2024,SL,107612,0.21273984314017022,0.4729445072160993,0.26,0.13616288146303387,0.34561100278393353,0.14,0.0014417163858063571,0.001053554990545415
2024,CU,44678,0.382603070862617,0.7790758036817251,0.61,-0.7993587447960965,0.41949379194016595,-0.83,0.00368580924020612,0.0019846259981831293
2024,CH,72178,-0.32749909944858546,1.1697359135092553,-0.99,0.43840921056277543,0.39307510631306347,0.43,0.0043539696958276594,0.001463096995916739
2024,SI,111726,-0.49556074682705903,1.1700761357789744,-1.14,0.6257548824803538,0.4050547798186579,0.65,0.00350055573330425,0.0012118158711548457
2025,ALL,709146,-0.12942274228438153,0.9004340686318008,-0.21,0.5742194837170342,0.7231352484456071,0.61,,
2025,FF,226018,-0.28414502384765816,0.6725238474334667,-0.49,1.3181166544257537,0.24322464693749563,1.35,0.0014146082125475914,0.0005116065168020805
2025,SL,104773,0.1865968331535796,0.4574799481288724,0.22,0.15190535729624996,0.3435280839098906,0.16,0.001413342353126486,0.0010612985169384203
2025,CU,49646,0.3398255650002014,0.7900397621964372,0.53,-0.8337326269991541,0.4258870372459392,-0.87,0.0035457394399070136,0.0019114031181288863
2025,CH,73032,-0.376542611457991,1.1710212016791677,-1.03,0.37487717712783436,0.39549560685872887,0.37,0.004333194279488618,0.0014634741870990081
2025,SI,110110,-0.5267546090273363,1.1785380173101494,-1.17,0.6203560076287347,0.4147327057474307,0.64,0.003551650440865981,0.0012498413929584468
