balls,strikes,count,count_type,total,fastball_pct,breaking_pct,offspeed_pct
0,0,0-0,Even,1899416,62.96203675234915,28.094424812679264,8.193781667628366
0,1,0-1,Pitcher,952429,53.61229025995639,30.610680691159132,15.067054867081955
0,2,0-2,Pitcher,491243,48.2089312214118,37.77621258725315,13.141357739448706
1,0,1-0,Hitter,735118,62.246333241738064,22.91591281943851,14.02550338857163
1,1,1-1,Even,751522,53.612003374485376,28.936079050247365,16.790326830086144
1,2,1-2,Pitcher,712281,47.588943127782436,36.820721035658686,14.808762272193137
2,0,2-0,Hitter,250610,74.38649694744822,14.44515382466781,10.031922110051475
2,1,2-1,Hitter,388810,62.177670327409274,22.681515393122606,14.597875569044005
2,2,2-2,Even,608510,51.55313799280209,32.49116694877652,15.270414619316034
3,0,3-0,Hitter,78200,93.03452685421995,2.7531969309462916,1.7672634271099743
3,1,3-1,Hitter,161217,80.04925038922694,12.026027031888695,7.493626602653566
3,2,3-2,Even,367450,64.61396108314055,23.470404136617226,11.436385902843925
