inning,n,mean,std,se,ci_lower,ci_upper
1,329541,2266.2584321829454,171.17008656293075,0.2981763146171619,2265.6740066062957,2266.842857759595
2,289081,2266.028566387967,171.45175769554163,0.3188835877378021,2265.403554556001,2266.6535782199335
3,270819,2264.1223806306057,172.86000581909911,0.3321658329178474,2263.4713355980866,2264.7734256631247
4,258077,2262.342413310756,173.99589118986714,0.34250297012827474,2261.6711074893046,2263.0137191322074
5,259226,2264.808074807311,173.97251124826371,0.3416971474071627,2264.138348398393,2265.477801216229
6,266312,2275.580037700141,176.5457460520801,0.34210694396393787,2274.9095080899715,2276.2505673103105
7,281751,2289.229415334817,175.83489003569636,0.33126253508082515,2288.580140766059,2289.8786899035754
8,289783,2299.9304203490196,176.54678767907168,0.32796188036326257,2299.2876150635075,2300.573225634532
9,230933,2316.5910328969876,181.06693433000638,0.3767872078730174,2315.8525299695566,2317.3295358244186
