year,inning1_velo,inning6_velo,decay_1_to_6
2015,92.75788718780207,92.95113990424802,0.19325271644595432
2016,92.85043491256913,93.05695674449244,0.20652183192331108
2017,92.75557665690282,93.1132981184454,0.35772146154258166
2018,92.89756052824652,93.01028181749679,0.11272128925027403
2019,93.17573919856078,93.32135514695237,0.14561594839159397
2020,93.28957490713991,93.33636363636364,0.046788729223735004
2021,93.52120765832106,93.75178187123839,0.2305742129173325
2022,93.73571041474067,93.95563601639279,0.21992560165212183
2023,94.07845572354213,94.10344631159212,0.024990588049988105
2024,94.08484408992024,94.1289973130891,0.04415322316886261
2025,94.37851871289402,94.36436939449858,-0.014149318395439536
