year,n_pitchers,avg_arsenal,median_arsenal,std_arsenal,pct_1pitch,pct_2pitch,pct_3pitch,pct_4pitch,pct_5plus,pct_4plus
2015,583,3.981132075471698,4.0,1.1020072695064176,0.0,8.747855917667238,26.41509433962264,30.874785591766724,33.9622641509434,64.83704974271012
2016,589,3.904923599320883,4.0,1.0107212027038839,0.0,7.30050933786078,29.20203735144312,33.95585738539898,29.541595925297116,63.497453310696095
2017,593,3.9561551433389543,4.0,1.017465745594149,0.0,7.419898819561552,26.138279932546375,35.07588532883643,31.365935919055648,66.44182124789208
2018,610,3.8540983606557377,4.0,1.0331252140370424,0.0,9.01639344262295,29.18032786885246,34.42622950819672,27.377049180327866,61.803278688524586
2019,633,3.800947867298578,4.0,1.0410251088908344,0.0,10.742496050552923,29.067930489731435,33.649289099526065,26.540284360189574,60.18957345971564
2020,465,3.617204301075269,4.0,1.0274910495366927,0.21505376344086022,14.408602150537634,31.61290322580645,33.33333333333333,20.43010752688172,53.76344086021505
2021,652,3.75,4.0,1.0919690075107698,0.0,12.423312883435583,30.981595092024538,31.441717791411044,25.153374233128833,56.59509202453988
2022,631,3.8526148969889067,4.0,1.1277827561685188,0.0,10.618066561014263,30.427892234548338,30.11093502377179,28.84310618066561,58.9540412044374
2023,642,4.007788161993769,4.0,1.1575978808077507,0.0,9.034267912772584,24.766355140186917,34.57943925233645,31.61993769470405,66.19937694704049
2024,625,4.1136,4.0,1.1881724816514863,0.16,7.04,24.16,33.12,35.52,68.64
2025,640,4.246875,4.0,1.208339404226294,0.0,7.03125,21.25,29.531249999999996,42.1875,71.71875
