year,pitch_type,pct_pitchers
2015,FF,91.08061749571183
2015,SL,70.32590051457976
2015,SI,69.81132075471697
2015,CH,68.43910806174958
2015,CU,50.943396226415096
2015,FC,25.900514579759864
2015,KC,9.605488850771868
2015,FS,6.86106346483705
2015,IN,3.0874785591766725
2015,ST,0.6861063464837049
2015,EP,0.5145797598627788
2015,KN,0.34305317324185247
2015,SV,0.34305317324185247
2015,FO,0.17152658662092624
2020,FF,86.88172043010752
2020,SL,63.87096774193548
2020,CH,58.49462365591398
2020,SI,51.3978494623656
2020,CU,45.806451612903224
2020,FC,28.602150537634408
2020,KC,10.967741935483872
2020,FS,8.817204301075268
2020,ST,5.376344086021505
2020,SV,0.8602150537634409
2020,CS,0.21505376344086022
2020,FA,0.21505376344086022
2020,KN,0.21505376344086022
2025,FF,90.46875
2025,SL,67.03125
2025,SI,65.0
2025,CH,58.4375
2025,CU,39.53125
2025,FC,39.53125
2025,ST,37.8125
2025,FS,17.03125
2025,KC,6.5625
2025,SV,2.8125
2025,CS,0.3125
2025,FO,0.15625
