year,total,fastball_pct,breaking_pct,offspeed_pct,ff_pct,si_pct,sl_pct
2015,183866,67.48719175921595,22.77093100410081,8.681322267303363,37.98581575712747,24.000087019894924,12.495513036668008
2016,184778,66.04465899620084,24.62306118693784,8.221216811525181,38.37686304646657,22.738637716611283,12.928487157562046
2017,183993,65.59216926730909,25.93142130407135,7.819862712168398,36.60247944215269,23.87536482366177,13.517905572494607
2018,183999,65.40198588035805,26.481122180011845,7.736455089429834,37.662161207397865,22.435448018739233,14.040837178462926
2019,185026,62.53769740468908,28.895938949120666,8.126965939921957,37.83738501615989,18.608195604942008,15.26271983396928
2020,66489,61.51092661944081,29.36575974973304,8.697679315375476,36.41504609785077,18.2451232534705,15.199506685316369
2021,181504,61.77935472496474,29.268225493653034,8.351882052186179,36.8906470380818,17.758837270803948,16.0431726022567
2022,181972,59.8394258457345,31.40373244235377,7.98749258127624,34.029411118194005,18.13960389510474,15.755171125228056
2023,183480,60.11172879877916,30.782101591454108,8.28155657292348,33.168737737083056,18.30771746239372,15.177131022454763
2024,181798,60.89890977898547,29.986578510214635,8.23771438629688,32.934355713484194,18.842891560963267,14.467705915356605
2025,182511,60.33992471686638,30.44967152664771,8.31347151678529,32.75802554366586,18.89584737358296,14.210650316967197
