game_year,pitch_category,n_pitches,woba,whiff_rate
2015,Breaking,169652,0.26654565634610494,0.3184740401676653
2015,Fastball,438927,0.35038623723145157,0.1501285522292125
2015,Offspeed,85237,0.2974744887067162,0.298092970471083
2016,Breaking,183476,0.2723426787195947,0.32039382842048386
2016,Fastball,440256,0.35906379844890757,0.15652649198920507
2016,Offspeed,82797,0.3040220925571244,0.3007928412462908
2017,Breaking,190346,0.2815289989854582,0.32913749092527106
2017,Fastball,439370,0.3632101938496624,0.1634380087939086
2017,Offspeed,83038,0.3108827463218903,0.3016567604249544
2018,Breaking,194418,0.27572686768210547,0.33086577227068764
2018,Fastball,435585,0.35413444948559025,0.17010861026003612
2018,Offspeed,85053,0.29990307573016284,0.3004150891757515
2019,Breaking,205439,0.28991919590067006,0.33152313900575253
2019,Fastball,428800,0.36901910291225765,0.1793474236118311
2019,Offspeed,90278,0.30046584474519095,0.29593617021276597
2020,Breaking,75688,0.28577294417933635,0.33713683576697273
2020,Fastball,151084,0.3654435708045429,0.18775802752293577
2020,Offspeed,35597,0.30045965270684377,0.3072166086908509
2021,Breaking,203808,0.28409723730721376,0.3300058213492594
2021,Fastball,410170,0.35447872556904625,0.18232646729029384
2021,Offspeed,91413,0.2997745141078341,0.29333162294486137
2022,Breaking,216100,0.2806221567603848,0.3178225459062541
2022,Fastball,396541,0.34527579416386533,0.1768936592121622
2022,Offspeed,90603,0.288765702891326,0.2916047948006112
2023,Breaking,219771,0.2939758043852264,0.314849827671098
2023,Fastball,398258,0.35601883019166797,0.1779012873497696
2023,Offspeed,93922,0.29517249499587894,0.30126358724218405
2024,Breaking,212710,0.2868352653247074,0.31096262648794437
2024,Fastball,395075,0.34496216173382466,0.17258153385983785
2024,Offspeed,94272,0.2880483788763869,0.29994371364839795
2025,Breaking,216346,0.2938068351222421,0.3086564121015862
2025,Fastball,389869,0.34778185289389074,0.1698783830078794
2025,Offspeed,96559,0.28265575400619575,0.3007345439706182
