game_year,n_batted_balls,mean_ev,std_ev,median_ev,p90_ev,p95_ev,max_ev
2015,151590,87.13129757899598,13.53087685191856,88.6,103.1,105.7,120.3
2016,189539,84.0634460454049,14.333151481513926,83.8,102.5,105.4,120.1
2017,199573,82.09026822265537,15.822065509745391,82.9,101.9,105.1,123.9
2018,201290,83.48870833126335,14.226628191005418,82.9,102.1,105.2,121.7
2019,201277,83.8706359892089,14.226561267892087,82.9,102.6,105.6,120.6
2020,77844,82.78395123580495,15.28075920711897,83.1,102.0,105.0,121.3
2021,232303,82.23290271757145,15.47792562792113,81.8,102.1,105.4,122.2
2022,235504,82.2494458692846,15.277961438942215,81.9,101.9,105.1,122.4
2023,236925,82.59605740213146,15.223896428022767,82.2,102.2,105.4,121.2
2024,237196,82.53333234961804,15.160030221038593,82.1,102.0,105.2,121.5
2025,235536,83.09324901501256,15.439446820382607,82.9,102.7,105.9,122.9
