game_year,n_batted_balls,mean_la,std_la,median_la
2015,151594,11.720298956423077,26.7055795598972,12.0
2016,189546,16.171662815358804,28.71374735034124,17.0
2017,199583,16.470786590040234,28.83413634237998,18.0
2018,201219,16.4854412356686,28.815844622904773,18.0
2019,201278,16.59475451862598,28.656395445772162,18.0
2020,77844,16.63037613688916,33.44152272269606,20.0
2021,232302,16.838895059018004,33.00601128742244,20.0
2022,235851,16.871414579543863,32.86914131965729,19.0
2023,237245,16.794482496996775,32.8770015965082,19.0
2024,237503,17.451792187888152,32.93640699931624,20.0
2025,235922,17.849505344986902,32.674409687852055,20.0
