count,events,woba_value,woba_denom,woba
3-0,35797,22309.35,28697,0.7774105307174966
3-1,82168,47499.4,81446,0.5832011394052501
4-2,14,7.05,14,0.5035714285714286
2-0,43079,18520.3,42557,0.4351881006649905
0-0,212958,85748.15,205576,0.4171116764602872
1-0,118642,48336.7,116414,0.415213805899634
2-1,88734,35580.8,87558,0.40636835012220474
1-1,153147,59107.35,150560,0.3925833554729012
3-2,262950,101082.95,262183,0.3855434944294634
0-1,167767,62083.95,164287,0.37789934687467663
2-2,274250,56785.1,272802,0.2081549988636447
1-2,289400,54493.3,287688,0.18941805010984122
0-2,178433,31453.0,177268,0.1774319110048063
1-3,1,0.0,1,0.0
4-1,1,0.0,1,0.0
