game_year,actual_ba,xba,n_ab,gap
2015,0.3322704237267455,0.3211863942147348,122933,0.011084029512010651
2016,0.3374590224242375,0.3273534821742436,122323,0.010105540249993883
2017,0.34036513141794333,0.33051678821398855,122586,0.00984834320395478
2018,0.3340773564392317,0.3242651550093895,121412,0.009812201429842182
2019,0.34353240824967335,0.33356936473545806,120926,0.009963043514215286
2020,0.3386099023873927,0.332047183347054,42515,0.0065627190403386715
2021,0.3341700233199067,0.32292861241584764,117925,0.011241410904059057
2022,0.3275999204613243,0.3186194181587374,120696,0.008980502302586901
2023,0.3372023760279299,0.32739724222739325,120874,0.009805133800536658
2024,0.32931110318099205,0.32082540198325316,120497,0.008485701197738893
2025,0.3304750429156213,0.3225095465667462,121168,0.007965496348875112
